CCAT1,miR-155,1,miR-155 miR-7 miR-218 miR-490 miR-181a
linc-223,miR-125-5p,1,miR-125-5p
H19,miR-675,3,miR-138 miR-675 miR-140 miR-19b miR-17-5p miR-874 miR-200a miR-200b miR-200c let-7a let-7b miR-372 miR-373 miR-29a miR-342-3p miR-148b miR-138 miR-141-3p miR-181d miR-29b-3p miR-19b miR-630 miR-200s miR-675 miR-194-5p miR-148a-3p miR-106a-5p miR-139 miR-138-5p miR-152
SPRY4-IT1,miR-101-3p,3,miR-101-3p
UCA1,miR-196a-5P miR-196a miR-145,3,miR-203 miR-182 miR-204 miR-101-3p miR-16 miR-18a miR-485-5p miR-216b miR-506-3p miR-196a-5p miR-27b miR-507 miR-204-5p miR-196a miR-193a-3p miR-145 miR-184
circ-ITCH,miR-224 ,3,miR-17 miR-224
GAS5,miR-21,5,miR-23a miR-21 miR-103
HOTAIR,miR-34a,5,miR-19 miR-101-3p miR-454-3p miR-373 miR-141-3p miR-126 miR-1 miR-331-3p miR-34a miR-148a miR-326
MALAT1,miR-1 miR-124 miR-448,5,miR-203 miR-142-3p miR-129-5p miR-204 miR-183 miR-363-3p miR-202 miR-224-5p miR-206 miR-1 miR-101b miR-124 miR-200a miR-200b miR-200c miR-22-3p miR-146b-5p miR-218 miR-23c miR-145 miR-140 miR-155 miR-375 miR-25 miR-216b miR-122 miR-448 miR-30a miR-101 miR-26b
NEAT1,miR-101-3p miR-101 miR-548,5,miR-101-3p miR-214 miR-377-3p miR-98-5p miR-181d-5p miR-101 miR-204 miR-129-5p miR-548 miR-124-3p miR-107 miR-449b-5p
ROR,miR-205,5,miR-205 miR-145
SNHG16,miR-98,5,miR-98
TUG1,miR-9,5,miR-300 miR-9 miR-186 miR-377 miR-335-5p miR-9-5p miR-144 miR-299 miR-34a-5p miR-144 miR-204-5p miR-382
UCA1,miR-18a,5,
XIAP,miR-29a-5p,5,miR-29a-5p
circGFRA1,miR-34a,5,miR-34a
H19,miR-200b miR-200c let-7b miR-152,5,
HOTAIR,miR-148a,7,
MALAT1,miR-124 miR-375 miR-124,7,
PVT1,miR-195 miR-200b,7,miR-186 miR-195 miR-152 miR-200b miR-448 miR-497 miR-203 miR-152
H19,miR-138-5p,7,
H19,let-7a let-7b miR-372 miR-373,8,
HULC,let-7a let-7b miR-372 miR-373,8,miR-200a miR-372 miR-200a-3p let-7a let-7b miR-372 miR-373 miR-6825-5p miR-6845-5p miR-6886-3p miR-107 miR-203
MALAT1,miR-204,8,
HULC,miR-200a,10,
UCA1,miR-16,10,
H19,miR-138,12,
LINC00052,miR-193a-3p,12,miR-128 miR-485-3p miR-193a-3p
CASC2,miR-18a,13,miR-181a miR-18a
CRNDE,miR-136,13,miR-136 miR-384
H19,miR-148b miR-138 miR-200a,13,
uc002kmd.1 ,miR-211-3p,13,miR-211-3p
MALAT1,miR-218,13,
ROR,miR-145,13,
TUG1,miR-186,13,
TUSC7,miR-211-3p,13,miR-211-3p miR-10a
UCA1,miR-204-5p,13,
MALAT1,miR-200c,16,
UCA1,miR-485-5p,17,
UCA1,miR-204,18,
HOTAIR,miR-148a,18,
Snhg1,miR-338,18,miR-199a-3p miR-101-3p miR-338
CCAT1,miR-7,19,
HOTAIR,miR-1,19,
SOX2OT,miR-211,19,miR-211
LincRNA-ROR,miR-145,19,miR-145
lnc-ATB,miR-200b,19,miR-200b
PVT1,miR-203,19,
H19,miR-342-3p miR-194-5p,20,
MALAT1,miR-363-3p miR-206,20,
MINCR,miR-26a-5p,20,miR-26a-5p
AF147447,miR-34c,21,miR-34c
ATB,miR-141-3P,21,miR-141-3P miR-200 miR-200c
BC032469,miR-1207-5p,21,miR-1207-5p 
CCAT1,miR-490,21,
GAS5,miR-23a,21,
H19,miR-141-3p miR-675,21,
HOTAIR,miR-126 miR-331-3p,21,
HOXA11-AS,miR-1297,21,miR-1297
MALAT1,miR-202,21,
MEG3,miR-181a,21,miR-19a miR-181a miR-664 miR-181b miR-125a-5p miR-140-5p
PTENP1,miR-106b miR-93,21,miR-106b miR-93 miR-19 miR-20a miR-499-5p
lncRNA-FER1L4,miR-106a-5p,21,miR-106a-5p
PVT1,miR-186 miR-152,21,
RMRP,miR-206,21,miR-206
SNHG5,miR-32,21,miR-32
TUG1,miR-144,21,
UCA1,miR-27b,21,
XIST,miR-101 miR-497,21,miR-494 miR-133a miR-449a miR-137 miR-103a miR-101 miR-181a miR-139-5p miR-320b miR-497 miR-34a-5p miR-92b miR-21-5p
ciRS-7,miR-7,21,miR-7
H19,miR-181d miR-373,22,
MALAT1,miR-203,22,
RP11-838N2.4,miR-10a,22,miR-10a
TUG1,miR-299,22,
ATB,miR-200,24,
CASC2,miR-181a,24,
ECONEXIN,miR-411-5p,24,miR-411-5p
H19,miR-140 miR-29a,24,
HOTAIR,miR-141-3p,24,
KCNQ1OT1,miR-370,24,miR-370
MALAT1,miR-155 miR-101,24,
MEG3,miR-19a,24,
NEAT1,miR-449b-5p,24,
CRNDE,miR-384,24,
PVT1,miR-186,24,
TP73-AS1,miR-142,24,miR-200a miR-142
UCA1,miR-182,24,
XIST,miR-137 miR-103a,24,
circ-TTBK2,miR-217,24,miR-217
TUG1,miR-34a-5p,27,
DANCR,miR-214 miR-199a miR-320a,28,miR-214 miR-199a miR-320a
FTX,miR-374a miR-545,28,miR-374a miR-545 miR-29b-1-5p
GAS5,miR-21,28,
HNF1A-AS1,miR-30b-5p,28,miR-30b-5p
HOTAIR,miR-1,28,
HULC,miR-200a-3p miR-6825-5p miR-6845-5p miR-6886-3p miR-203,28,
MALAT1,miR-146b-5p miR-216b,28,
MEG3,miR-664,28,
SNH12,miR-199a-5p,28,miR-199a-5p
SNHG6-003,miR-26a miR-26b,28,miR-26a miR-26b
TP73-AS1,miR-200a,28,
TUSC7,miR-10a,28,
UCA1,miR-203 miR-216b,28,
Unigene56159,miR-140-5p,28,miR-140-5p
XIST,miR-181a miR-139-5p miR-92b,28,
